PlantID	host	hostCon	hostAdZ	hostCeZ	X	Y	Height	Length	Width	logsize	Green	Grey	Red	Striped	total	occupied	logtotal	greenpro	C1N	C2N	C10N	C1A	C2A	C10A	q1N	q2N	q10N	q1A	q2A	q10A	C2NA	C2NC	q2NA	q2NC
A107	A	-1	0	1	12.75	7.75	170	130	100	6.344392274	0	0	0	0	0	0	0	0	0.223	0.343	0.205	0.599	0.765	0.413	0.474	0.389	0.364	0.444	0.376	0.288	0.205	0.138	0.264	0.574
A108	A	-1	0	1	16.5	3.75	200	440	330	7.462996612	0	0	0	2	2	1	0.477121255	0	0.013	0.071	0.153	0.093	0.272	0.316	0.446	0.395	0.366	0.166	0.234	0.28	0.047	0.023	0.329	0.527
A109	A	-1	0	1	17.25	8.25	130	130	150	6.403977964	2	0	0	0	2	1	0.477121255	1	0.095	0.254	0.214	0.671	0.816	0.427	0.308	0.281	0.352	0.062	0.131	0.257	0.186	0.067	0.221	0.448
A110	A	-1	0	1	16.25	9	130	90	100	6.068185862	0	0	0	0	0	0	0	0	0.35	0.424	0.23	0.893	0.964	0.449	0.513	0.365	0.36	0.463	0.309	0.28	0.308	0.115	0.331	0.454
A111	A	-1	0	1	19.25	10.25	90	40	60	5.334453751	0	0	0	0	0	0	0	0	0.187	0.373	0.241	0.692	0.947	0.461	0.297	0.294	0.36	0.168	0.208	0.276	0.336	0.037	0.281	0.413
A112	A	-1	0	1	24.25	8	120	150	240	6.635483747	1	0	0	4	5	1	0.77815125	0.2	0.111	0.155	0.181	0.516	0.531	0.349	0.425	0.39	0.375	0.223	0.251	0.279	0.107	0.047	0.437	0.282
A113	A	-1	0	1	26.25	8.5	170	190	320	7.014352501	2	0	0	1	3	1	0.602059991	0.666666667	0.15	0.199	0.177	0.402	0.465	0.327	0.262	0.297	0.368	0.244	0.253	0.272	0.133	0.066	0.244	0.404
A114	A	-1	0	1	7.25	2	170	100	120	6.309630167	0	0	0	0	0	0	0	0	0.182	0.172	0.118	0.482	0.416	0.256	0.292	0.339	0.372	0.16	0.273	0.295	0.127	0.045	0.22	0.673
A115	A	-1	0	1	8.25	0	130	260	220	6.871339381	2	0	0	7	9	1	1	0.222222222	0.006	0.027	0.093	0.156	0.216	0.224	0.629	0.55	0.385	0.064	0.19	0.284	0.006	0.02	0.161	0.67
A116	A	-1	0	1	16.75	11.5	160	130	140	6.464191371	0	0	0	0	0	0	0	0	0.653	0.711	0.267	1.36	1.293	0.503	0.268	0.279	0.357	0.189	0.232	0.278	0.64	0.07	0.257	0.475
A117	A	-1	0	1	18.25	11.5	120	40	40	5.283301229	0	0	0	1	1	1	0.301029996	0	0.44	0.573	0.262	1.394	1.28	0.497	0.315	0.293	0.361	0.174	0.215	0.276	0.53	0.043	0.28	0.455
C1	C	1	1	0	5.75	11.5	230	280	330	7.327399807	2	0	0	3	5	1	0.77815125	0.4	0.044	0.137	0.175	0.176	0.44	0.384	0.639	0.473	0.382	0.302	0.311	0.28	0.066	0.071	0.248	0.685
C2	C	1	1	0	2	14	50	80	60	5.380211242	0	0	0	1	1	1	0.301029996	0	0.026	0.074	0.149	0.484	0.425	0.334	0.668	0.562	0.398	0.077	0.213	0.28	0.016	0.057	0.265	0.646
C3	C	1	1	0	2.75	14.75	50	100	30	5.176091259	0	0	0	0	0	0	0	0	0.08	0.102	0.161	0.741	0.543	0.358	0.215	0.409	0.393	0.082	0.199	0.277	0.024	0.078	0.269	0.453
C4	C	1	1	0	2.75	15.75	65	40	55	5.155336037	0	0	0	0	0	0	0	0	0.048	0.085	0.165	0.638	0.532	0.364	0.421	0.441	0.394	0.163	0.227	0.275	0.027	0.059	0.277	0.516
C5	C	1	1	0	4.5	17.25	110	120	100	6.120573931	1	0	0	0	1	1	0.301029996	1	0.017	0.093	0.19	0.528	0.631	0.414	0.35	0.343	0.389	0.029	0.1	0.253	0.065	0.028	0.293	0.46
C6	C	1	1	0	5.25	16	140	130	80	6.163161375	0	0	0	0	0	0	0	0	0.061	0.139	0.197	0.508	0.637	0.423	0.741	0.435	0.389	0.477	0.303	0.277	0.077	0.063	0.276	0.631
C7	C	1	1	0	7.75	17.5	160	240	220	6.926753905	0	0	0	0	0	0	0	0	0.09	0.245	0.237	0.761	0.891	0.489	0.423	0.352	0.387	0.16	0.232	0.275	0.208	0.037	0.297	0.657
C8	C	1	1	0	11.5	11.5	200	150	100	6.477121255	3	0	0	1	4	1	0.698970004	0.75	1.003	0.767	0.243	0.506	0.8	0.474	0.227	0.246	0.353	0.303	0.279	0.272	0.708	0.06	0.225	0.491
C9	C	1	1	0	28	12.25	170	220	210	6.895090897	0	0	0	3	3	1	0.602059991	0	0.395	0.403	0.204	0.679	0.596	0.353	0.487	0.451	0.394	0.628	0.48	0.299	0.156	0.247	0.327	0.529
C10	C	1	1	0	28	14	200	220	200	6.944482672	2	0	0	2	4	1	0.698970004	0.5	0.31	0.392	0.216	0.404	0.508	0.372	0.328	0.376	0.387	0.265	0.3	0.286	0.138	0.255	0.304	0.415
C11	C	1	1	0	31.25	13.75	350	330	370	7.630783708	11	0	1	11	23	1	1.380211242	0.47826087	0.063	0.113	0.154	0.222	0.299	0.298	0.244	0.326	0.384	0.141	0.241	0.287	0.05	0.063	0.24	0.394
C12	C	1	1	0	9.25	24.25	210	250	290	7.182557301	2	0	0	1	3	1	0.602059991	0.666666667	0.343	0.408	0.271	0.927	1.092	0.535	0.172	0.31	0.412	0.083	0.151	0.259	0.287	0.121	0.176	0.629
C13	C	1	1	0	13	25.5	180	200	210	6.878521796	7	1	0	3	11	1	1.079181246	0.636363636	0.204	0.428	0.302	0.867	1.176	0.578	0.466	0.47	0.42	0.13	0.195	0.268	0.202	0.226	0.237	0.678
C14	C	1	1	0	20.5	20.5	150	140	100	6.322219295	1	0	0	2	3	1	0.602059991	0.333333333	0.888	0.863	0.328	1.082	1.121	0.564	0.25	0.31	0.396	0.361	0.34	0.292	0.784	0.079	0.271	0.688
C15	C	1	1	0	17.75	25	150	200	230	6.838849091	10	0	0	4	14	1	1.176091259	0.714285714	0.321	0.551	0.32	0.908	1.078	0.582	0.514	0.459	0.413	0.206	0.275	0.282	0.336	0.214	0.318	0.681
C16	C	1	1	0	24.5	19.5	120	90	70	5.878521796	0	0	0	0	0	0	0	0	0.747	0.743	0.294	0.569	0.787	0.491	0.377	0.373	0.398	0.377	0.358	0.3	0.593	0.149	0.308	0.632
C17	C	1	1	0	27	20.75	210	230	330	7.202461071	7	0	1	2	10	1	1.041392685	0.7	0.409	0.42	0.252	0.706	0.72	0.442	0.387	0.374	0.396	0.185	0.271	0.291	0.372	0.048	0.344	0.609
C18	C	1	1	0	31.25	25.5	110	90	80	5.898725182	0	0	0	0	0	0	0	0	0.058	0.132	0.199	0.335	0.41	0.343	0.366	0.421	0.43	0.213	0.294	0.306	0.08	0.053	0.206	0.747
C19	C	1	1	0	30.25	22.75	210	280	350	7.31344537	2	0	0	0	2	1	0.477121255	1	0.075	0.187	0.215	0.364	0.479	0.368	0.419	0.433	0.416	0.091	0.186	0.283	0.108	0.079	0.275	0.647
C20	C	1	1	0	2.75	30.75	40	76	90	5.437116093	3	0	0	0	3	1	0.602059991	1	0.034	0.101	0.182	0.082	0.26	0.357	0.457	0.413	0.423	0.404	0.29	0.251	0.012	0.089	0.12	0.453
C21	C	1	1	0	6.5	32.25	180	270	170	6.917085191	4	0	0	5	9	1	1	0.444444444	0.16	0.236	0.225	0.924	0.836	0.434	0.542	0.454	0.439	0.471	0.337	0.262	0.025	0.211	0.141	0.491
C22	C	1	1	0	7.75	29	140	100	50	5.84509804	0	0	0	0	0	0	0	0	0.147	0.311	0.255	0.344	0.683	0.48	0.455	0.456	0.435	0.349	0.298	0.271	0.07	0.241	0.116	0.554
C23	C	1	1	0	11.5	30	240	250	480	7.459392488	8	0	0	6	14	1	1.176091259	0.571428571	0.088	0.301	0.278	0.821	0.968	0.527	0.489	0.478	0.437	0.116	0.195	0.264	0.078	0.223	0.208	0.573
C24	C	1	1	0	8.75	31.5	110	150	90	6.171726454	1	0	0	0	1	1	0.301029996	1	0.287	0.42	0.265	0.468	0.794	0.479	0.445	0.446	0.44	0.246	0.222	0.254	0.037	0.383	0.153	0.474
C25	C	1	1	0	16	27	120	170	200	6.610660163	8	0	0	2	10	1	1.041392685	0.8	0.368	0.57	0.32	0.914	1.113	0.576	0.515	0.494	0.426	0.158	0.226	0.275	0.208	0.363	0.25	0.634
C26	C	1	1	0	20.75	32.5	160	200	160	6.709269961	4	0	0	3	7	1	0.903089987	0.571428571	0.671	0.594	0.292	0.921	0.891	0.488	0.502	0.503	0.456	0.419	0.345	0.29	0.123	0.47	0.392	0.532
C27	C	1	1	0	18.25	30.75	160	170	210	6.756788199	6	0	0	5	11	1	1.079181246	0.545454545	0.232	0.463	0.305	0.448	0.804	0.528	0.363	0.473	0.449	0.191	0.264	0.283	0.149	0.314	0.227	0.59
C28	C	1	1	0	24.75	31	150	150	170	6.582631439	6	0	2	4	12	1	1.113943352	0.5	0.405	0.425	0.259	0.884	0.864	0.453	0.541	0.508	0.45	0.462	0.385	0.299	0.256	0.169	0.463	0.576
C29	C	1	1	0	7	38.25	140	230	170	6.738304793	4	0	0	4	8	1	0.954242509	0.5	0.353	0.389	0.216	1.009	0.935	0.384	0.217	0.289	0.437	0.121	0.143	0.244	0.166	0.223	0.155	0.389
C30	C	1	1	0	5	34.25	60	60	60	5.334453751	0	0	0	1	1	1	0.301029996	0	0.228	0.294	0.212	1.01	0.812	0.392	0.473	0.437	0.441	0.286	0.29	0.264	0.025	0.269	0.143	0.464
C31	C	1	1	0	5.75	33	80	80	110	5.847572659	1	0	0	0	1	1	0.301029996	1	0.619	0.413	0.225	1.296	0.908	0.417	0.394	0.401	0.435	0.177	0.206	0.249	0.022	0.391	0.143	0.416
C32	C	1	1	0	7.75	34.5	170	350	260	7.189490314	0	0	1	3	4	1	0.698970004	0	0.238	0.389	0.243	0.815	0.92	0.437	0.423	0.442	0.452	0.225	0.257	0.266	0.042	0.347	0.163	0.476
C33	C	1	1	0	9.5	38	120	210	220	6.743823222	2	0	1	4	7	1	0.903089987	0.285714286	0.431	0.547	0.244	0.835	0.918	0.413	0.371	0.416	0.454	0.212	0.213	0.257	0.157	0.39	0.189	0.508
C34	C	1	1	0	10	35.25	90	100	70	5.799340549	0	0	0	1	1	1	0.301029996	0	0.354	0.546	0.269	0.803	0.911	0.456	0.285	0.408	0.45	0.109	0.211	0.266	0.058	0.488	0.161	0.437
C35	C	1	1	0	11	35	130	90	110	6.109578547	0	0	0	1	1	1	0.301029996	0	0.401	0.592	0.279	0.713	0.858	0.466	0.39	0.45	0.454	0.121	0.223	0.269	0.051	0.541	0.155	0.478
C36	C	1	1	0	14	35.75	240	580	700	7.988737275	16	0	4	9	29	1	1.477121255	0.551724138	0.085	0.278	0.253	0.325	0.632	0.461	0.397	0.451	0.447	0.175	0.205	0.265	0.035	0.243	0.169	0.492
C37	C	1	1	0	15.25	33.5	130	200	180	6.670245853	1	0	0	1	2	1	0.477121255	0.5	0.427	0.602	0.304	0.8	0.85	0.5	0.534	0.518	0.459	0.098	0.192	0.272	0.045	0.557	0.194	0.544
C38	C	1	1	0	17.25	34	140	130	130	6.37401474	0	0	0	0	0	0	0	0	0.315	0.556	0.303	0.56	0.758	0.488	0.485	0.508	0.461	0.253	0.289	0.287	0.045	0.511	0.251	0.53
C39	C	1	1	0	18.75	35	150	130	180	6.545307116	0	0	0	1	1	1	0.301029996	0	0.238	0.486	0.29	0.432	0.671	0.463	0.527	0.526	0.466	0.263	0.312	0.29	0.039	0.447	0.331	0.543
C40	C	1	1	0	20.75	33.25	160	190	230	6.84460142	3	0	2	1	6	1	0.84509804	0.5	0.719	0.598	0.288	0.956	0.891	0.478	0.554	0.53	0.461	0.424	0.343	0.29	0.101	0.497	0.405	0.556
C41	C	1	1	0	20.25	38.5	200	250	320	7.204119983	4	0	1	4	9	1	1	0.444444444	0.06	0.235	0.238	0.15	0.397	0.388	0.563	0.54	0.471	0.166	0.244	0.282	0.013	0.222	0.38	0.55
C42	C	1	1	0	28.75	34	240	200	250	7.079181246	5	0	0	3	8	1	0.954242509	0.625	0.096	0.194	0.197	0.295	0.475	0.345	0.313	0.42	0.449	0.151	0.221	0.29	0.049	0.145	0.353	0.442
C43	C	1	1	0	27.5	39.5	190	120	170	6.588383768	1	0	0	1	2	1	0.477121255	0.5	0.125	0.194	0.179	0.374	0.42	0.296	0.328	0.455	0.468	0.133	0.236	0.292	0.006	0.188	0.421	0.457
C44	C	1	1	0	27.75	38	140	90	90	6.054613055	0	0	0	1	1	1	0.301029996	0	0.246	0.269	0.19	0.621	0.557	0.316	0.401	0.482	0.469	0.315	0.323	0.305	0.012	0.257	0.414	0.485
C45	C	1	1	0	28.5	36.5	190	150	190	6.733598461	1	1	0	2	4	1	0.698970004	0.25	0.168	0.231	0.189	0.716	0.577	0.323	0.498	0.533	0.47	0.126	0.234	0.298	0.019	0.212	0.391	0.546
C46	C	1	1	0	23.5	36	220	370	290	7.373022403	8	1	0	3	12	1	1.113943352	0.666666667	0.11	0.292	0.236	0.69	0.728	0.405	0.482	0.482	0.454	0.105	0.227	0.285	0.048	0.244	0.459	0.487
C47	C	1	1	0	12	40	140	210	150	6.644438589	6	0	0	3	9	1	1	0.666666667	0.437	0.59	0.244	0.388	0.584	0.388	0.483	0.469	0.451	0.294	0.251	0.256	0.103	0.487	0.201	0.525
C48	C	1	1	0	13.75	42.25	280	420	640	7.876587296	16	0	3	8	27	1	1.447158031	0.592592593	0.107	0.228	0.2	0.106	0.285	0.342	0.598	0.493	0.447	0.466	0.293	0.259	0.039	0.188	0.189	0.557
C49	C	1	1	0	18.5	41.25	100	70	70	5.69019608	0	0	0	0	0	0	0	0	0.11	0.282	0.23	0.111	0.276	0.348	0.453	0.5	0.471	0.262	0.294	0.284	0.007	0.275	0.254	0.506
C50	C	1	1	0	19.25	44.5	350	580	490	7.997692118	0	0	0	2	2	1	0.477121255	0	0.018	0.118	0.186	0.043	0.138	0.28	0.526	0.525	0.477	0.1	0.258	0.286	0.003	0.115	0.229	0.533
C51	C	1	1	0	24.75	47.25	220	260	220	7.09981871	0	0	0	3	3	1	0.602059991	0	0.012	0.042	0.127	0.028	0.086	0.202	0.872	0.663	0.485	0.853	0.595	0.304	0	0.041	0.336	0.665
C52	C	1	1	0	24.75	40.75	250	290	330	7.378851946	3	0	0	3	6	1	0.84509804	0.5	0.048	0.147	0.186	0.126	0.305	0.307	0.501	0.505	0.469	0.314	0.296	0.288	0.005	0.143	0.432	0.508
C53	C	1	1	0	28.25	45.5	180	280	240	7.082641778	3	0	0	0	3	1	0.602059991	1	0.013	0.044	0.121	0.029	0.094	0.197	0.133	0.289	0.456	0.099	0.191	0.272	0	0.044	0.403	0.288
C55	C	1	1	0	11.25	50	280	570	700	8.048130927	10	0	2	6	18	1	1.278753601	0.555555556	0.015	0.07	0.128	0.059	0.14	0.214	0.285	0.445	0.457	0.11	0.191	0.243	0.03	0.04	0.251	0.589
C56	C	1	1	0	4.75	53.5	250	300	250	7.273001272	10	1	0	5	16	1	1.230448921	0.625	0.02	0.05	0.086	0.231	0.299	0.162	0.174	0.355	0.441	0.027	0.071	0.21	0.031	0.019	0.231	0.556
C58	C	1	1	0	1.75	5.25	130	100	70	5.959041392	1	0	0	0	1	1	0.301029996	1	0.013	0.046	0.104	0.076	0.195	0.238	0.451	0.513	0.384	0.145	0.246	0.273	0.009	0.038	0.24	0.576
C59	C	1	1	0	2.75	10	160	220	230	6.908270499	4	0	0	1	5	1	0.77815125	0.8	0.05	0.083	0.135	0.209	0.346	0.311	0.27	0.358	0.372	0.145	0.239	0.272	0.015	0.068	0.258	0.38
C60	C	1	1	0	3.75	8	150	180	90	6.385606274	0	0	0	1	1	1	0.301029996	0	0.111	0.137	0.137	0.34	0.433	0.307	0.761	0.652	0.394	0.489	0.469	0.301	0.018	0.119	0.262	0.71
C61	C	1	1	0	5.5	6.75	150	170	120	6.485721426	0	0	0	0	0	0	0	0	0.078	0.136	0.144	0.41	0.506	0.317	0.618	0.544	0.384	0.544	0.464	0.301	0.031	0.106	0.263	0.626
C62	C	1	1	0	7.25	7.25	200	100	180	6.556302501	1	0	0	0	1	1	0.301029996	1	0.054	0.152	0.161	0.4	0.56	0.35	0.559	0.468	0.374	0.194	0.283	0.273	0.057	0.095	0.279	0.582
C63	C	1	1	0	8.75	4.5	230	340	240	7.273417995	2	0	0	1	3	1	0.602059991	0.666666667	0.051	0.123	0.143	0.282	0.473	0.315	0.482	0.408	0.366	0.302	0.302	0.277	0.073	0.051	0.223	0.673
C64	C	1	1	0	14.75	9.5	180	260	190	6.948999454	2	0	0	3	5	1	0.77815125	0.4	0.21	0.422	0.229	0.656	0.919	0.458	0.34	0.309	0.358	0.195	0.243	0.274	0.378	0.044	0.264	0.691
C65	C	1	1	0	11.5	6.25	180	160	230	6.821120324	2	0	0	1	3	1	0.602059991	0.666666667	0.129	0.201	0.176	0.57	0.649	0.372	0.247	0.349	0.361	0.197	0.281	0.275	0.134	0.067	0.223	0.603
C66	C	1	1	0	14.75	6.5	180	110	90	6.2509077	0	0	0	0	0	0	0	0	0.124	0.236	0.192	0.45	0.656	0.389	0.392	0.366	0.362	0.25	0.28	0.282	0.151	0.085	0.274	0.528
C67	C	1	1	0	19.5	7	110	90	70	5.840733235	0	0	0	0	0	0	0	0	0.053	0.158	0.194	0.242	0.505	0.381	0.55	0.353	0.361	0.352	0.246	0.276	0.129	0.029	0.354	0.348
C68	C	1	1	0	22.75	7.5	160	130	130	6.432006687	0	0	0	1	1	1	0.301029996	0	0.186	0.194	0.187	0.358	0.48	0.358	0.241	0.303	0.367	0.204	0.231	0.279	0.176	0.018	0.287	0.46
C69	C	1	1	0	25	10	90	70	60	5.5774918	0	0	0	0	0	0	0	0	0.29	0.324	0.207	0.585	0.662	0.377	0.383	0.351	0.372	0.453	0.353	0.287	0.245	0.079	0.332	0.412
C70	C	1	1	0	27	11.25	150	190	130	6.568788212	1	0	0	0	1	1	0.301029996	1	0.453	0.395	0.205	0.772	0.658	0.36	0.284	0.334	0.376	0.213	0.236	0.27	0.215	0.181	0.341	0.325
C72	C	1	1	0	6.25	3	230	270	300	7.270212855	0	0	0	0	0	0	0	0	0.071	0.121	0.12	0.389	0.402	0.263	0.426	0.419	0.377	0.181	0.316	0.299	0.069	0.052	0.223	0.676
