PlantID	host	hostCon	hostAdZ	hostCeZ	X	Y	Height	Length	Width	logsize	Green	Grey	Red	Striped	total	occupied	logtotal	greenpro	C1N	C2N	C10N	C1A	C2A	C10A	q1N	q2N	q10N	q1A	q2A	q10A	C2NA	C2NC	q2NA	q2NC
A27	A	-1	0	1	33.25	14.5	250	200	250	7.096910013	0	0	0	1	1	1	0.301029996	0	0.439	0.356	0.164	0.156	0.189	0.263	0.477	0.469	0.408	0.469	0.425	0.305	0.015	0.34	0.329	0.475
A28	A	-1	0	1	5.5	23.5	60	120	80	5.760422483	0	0	0	0	0	0	0	0	0.185	0.224	0.221	0.443	0.644	0.452	0.182	0.281	0.41	0.137	0.187	0.267	0.175	0.049	0.178	0.645
A29	A	-1	0	1	7.25	25	200	240	200	6.982271233	0	0	0	3	3	1	0.602059991	0	0.227	0.283	0.244	0.604	0.808	0.489	0.306	0.373	0.424	0.221	0.217	0.269	0.167	0.116	0.194	0.629
A30	A	-1	0	1	5	20.75	70	80	20	5.049218023	0	0	0	0	0	0	0	0	0.081	0.155	0.208	0.658	0.721	0.442	0.361	0.348	0.402	0.14	0.198	0.267	0.126	0.029	0.267	0.695
A31	A	-1	0	1	6	20.25	110	130	100	6.155336037	0	0	0	0	0	0	0	0	0.164	0.212	0.221	0.952	0.906	0.466	0.403	0.36	0.399	0.217	0.221	0.269	0.178	0.034	0.296	0.693
A32	A	-1	0	1	7.5	23	130	220	130	6.570309385	1	0	0	4	5	1	0.77815125	0.2	0.254	0.287	0.243	0.862	0.992	0.502	0.244	0.337	0.414	0.172	0.195	0.265	0.196	0.09	0.193	0.648
A33	A	-1	0	1	7.25	20	180	100	120	6.334453751	1	0	0	1	2	1	0.477121255	0.5	0.128	0.236	0.236	1.238	1.094	0.495	0.296	0.33	0.395	0.078	0.158	0.261	0.196	0.039	0.26	0.676
A34	A	-1	0	1	8.25	18.5	120	100	100	6.079181246	0	0	0	0	0	0	0	0	0.163	0.294	0.248	1.171	1.086	0.509	0.434	0.362	0.39	0.177	0.231	0.273	0.259	0.036	0.32	0.664
A35	A	-1	0	1	8.25	19.75	110	80	80	5.847572659	0	0	0	0	0	0	0	0	0.303	0.343	0.252	1.341	1.186	0.517	0.414	0.368	0.395	0.264	0.249	0.272	0.3	0.043	0.326	0.665
A36	A	-1	0	1	10.25	19.5	130	310	150	6.781396305	1	0	0	1	2	1	0.477121255	0.5	0.262	0.402	0.275	0.894	1.138	0.549	0.469	0.368	0.391	0.298	0.25	0.268	0.353	0.05	0.328	0.655
A37	A	-1	0	1	10.25	21	140	100	150	6.322219295	2	0	0	1	3	1	0.602059991	0.666666667	0.3	0.406	0.278	0.989	1.197	0.555	0.278	0.333	0.396	0.222	0.219	0.265	0.324	0.082	0.251	0.655
